ID,ArticleURL,ImageURL,TimeStamp,TempDist,KeywordInHeadline,RichContentCaption,FloodSense,ArtClass,ArtSubclass,ArtClassPred,ImgClass,ImgClassPred,BischkeFloodRelated
flood0000,https://www.bnionline.net/en/feature/item/2704-escaping-yangon-to-visit-mesmerizing-kyaiktiyo.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/2b0abb28d4cb2b3d8a94ed0954391806.jpg?itok=cn-obtKd,2017-02-07T11:49:22Z,N,False,True,Other,TX,TX,TX,IX,<NA>,False
flood0001,https://www.bnionline.net/en/news/arakan-state/item/324-sea-water-destroys-400-acres-of-paddy-fields.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/144aba6c568fde2fce1a77afef2ebf5c.jpg?itok=JEnOdKMx,2015-02-03T07:46:00Z,N,False,True,Water,TA,TA,TX,IF,<NA>,False
flood0002,https://www.bnionline.net/en/news/arakan-state/item/1831-hundreds-houses-washed-away-in-arakan-flood.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/6b1c619be8b23a102b3cd1b7967289e5.jpg?itok=VleuQKaF,2016-06-17T04:08:54Z,N,True,True,Water,TA,TA,TF,IF,IF,True
flood0003,https://www.bnionline.net/en/news/arakan-state/item/2710-88-rakhine-generation-social-development-organisation-holds-press-conference-in-sittwe.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/3fa5dd63975726f36e45afc640b9eee3.jpg?itok=S3fZ34Sd,2017-02-09T06:13:05Z,N,False,True,Water,TX,TX,TX,IX,<NA>,False
flood0004,https://www.bnionline.net/en/news/karen-state/item/3303-thailand-halts-drainage-construction-at-three-pagodas-pass-after-flood-problems.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/e194bc2b752ce10f9bc3ab028b7c6fad.jpg?itok=2OYsAepc,2017-07-28T10:04:24Z,N,True,False,Water,TX,TX_drainage,TX,IX,<NA>,False
flood0005,https://www.bnionline.net/en/news/mon-state/item/1360-mangrove-tree-planting-in-ye-township.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/fc5dee0557d5c28746f896256ed98905.jpg?itok=4agTyZos,2015-12-18T14:55:57Z,N,False,True,Water,TP,TP,TX,IX,<NA>,False
flood0006,https://www.bnionline.net/en/news/mon-state/item/2432-tender-winners-face-charges-if-projects-don-t-reach-standards.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/3c34f604ac301ee5593c3166f451a140.jpg?itok=gpurIxtr,2016-10-24T04:25:14Z,N,False,True,Water,TX,TX,TX,IF,<NA>,True
flood0007,https://www.bnionline.net/en/news/mon-state/item/2904-usdp-wins-chaungzon-seat-by-over-7-000-votes.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/d8fc8a359accd7894dcbd989398acc9d.jpg?itok=SG4B9UPG,2017-04-03T10:09:40Z,N,False,True,Water,TX,TX_politics,TX,IP,<NA>,False
flood0008,https://www.bnionline.net/en/news/mon-state/item/3291-over-16-000-acres-flood-in-thaton.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/c41ebc0710bc5e43b69813000dcdbf48.jpg?itok=0Yhi6y1o,2017-07-26T09:43:55Z,N,True,True,Water,TF,TF,TF,IF,IF,True
flood0009,https://www.bnionline.net/en/news/mon-state/item/3305-road-from-kyar-inn-seikkyi-to-three-pagodas-pass-shut-after-two-bridges-washed-away.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/de00bbbabc75ca40a90c4d2a1937f062.jpg?itok=KDtaLtB3,2017-07-28T13:47:58Z,1,False,True,Water,TA,TA,TX,ID,<NA>,True
flood0010,https://www.bnionline.net/en/news/mon-state/item/3421-mon-state-to-provide-compensation-for-some-flood-damaged-farmland.html,https://www.bnionline.net/sites/bnionline.net/files/styles/bni-detail-image/public/news-images/c3d592713db2726f26fdbd4e019aaf63.jpg?itok=OeryYbqO,2017-08-25T11:20:06Z,2,True,True,Water,TA,TA,TA,IF,IF,True
